Nummer, Vorname, Nachname, E-Mailadresse, Geburtsdatum, Passwort
1, Max, Mustermann, max.mustermann@gmail.com, 01.01.1990, abc123
2, Anna, Schmidt, anna.schmidt@yahoo.com, 15.05.1985, xyz456
3, Stefan, Müller, stefan.mueller@hotmail.com, 22.11.1995, 123abc
4, Julia, Wagner, julia.wagner@gmail.com, 08.08.1992, qwert789
5, Felix, Keller, felix.keller@yahoo.com, 03.04.1991, 456def
6, Maria, Bauer, maria.bauer@hotmail.com, 17.09.1988, asdf123
7, Michael, Fischer, michael.fischer@gmail.com, 12.12.1986, zxcvbnm789
8, Sabrina, Hofmann, sabrina.hofmann@yahoo.com, 25.06.1993, ghjkl456
9, Lukas, Schmitt, lukas.schmitt@hotmail.com, 19.02.1989, poiuyt123
10, Sandra, Mayer, sandra.mayer@gmail.com, 30.07.1994, lkjhgf456
